	10
다들너무 친절하시고 생일날 너무 뜻깊세 보낼수 있어요!!!!!가격대비 굿굿 모임 추천드랴요!!!!!	10
생일파티라 방문했는데 상담해주실때도 너무친절하고 직원들도 너무이뿌고 잘생기고착하궁 좋아요 재방문 의사 만빵입니당	10
바텐더분들이 다하는 공간	10
오프에 놀러왔는데 분위기 너무 좋아🌷	10
생일파티 패키지 신청했는데 너무너무 예쁘게 꾸며주셔서 감사해요!! 넘 예쁘고 덕분에 즐겁게 보내다 갑니당 ㅎㅎㅎ!! 감사해요❤️	10
분위기 좋고 칵테일도 맛있어요 추천합니당!!!!	10
친구 생일이라 오랜만에 방문했는데 여전히 너무 친절하셔서 기분좋게 먹고가요~	10
1년 전에 가보고 진짜 오랜만에 간 거 같아요~ 역시나 분위기 최고입니다.. 직원분께 추천받은 칵테일 팜트리가 제 최애 칵테일이 됐어요! 완전 맛있었어요~ 칵테일 맛집!! 팜트리 강추해요!!!	10
너무 좋았어요~~	10
분위기 좋고 직원들도 친절하고 재밌구 서비스도 좋고 너무좋아요^^친구랑 왔는데 다음에 남친델고 와야겠어요 굿굿	10
분위기도 좋고 칵테일이랑 과일이 너무 맛있었어요!또 방문할께요~~^^	10
친구들이랑 오랜만에 모여서 다녀왔는데 룸이라서 코로나 걱정도 덜하고 분위기도 좋아서 너무 즐거웠어요 입장하자마자 직원이든 손님이든 다 마스크를ㅋㅋㅋㅋㅋㅋ안쓰고 있을수가없어옄ㅋㅋㅋ 이렇게 철저하게 하는곳은 첨 봤어여ㅋㅋ 다음에 또 와야겠습니다~	10
칵테일 너무 맛있고 바텐더님 너무 재미있어서 기분이 좋아지는 장소인것같아요ㅎ	10
맛있는 술 만들어주시고 위트한 분위기 조성 굿👍 자주 와야겠네요	10
회식차 직원들과 방문 인테리어가 너무 이뻤고직원분들이 인테리어보다 더 반짝이고 빛나는곳점주님 직원분들 칭찬 아낌없이 해주세요♡	10
파티룸도 이쁘게 꾸며주시고 직원들도 다 친절하시고 예삐고 잘생기셨어여 이번년도 생일 대만족!! 담엔 생일아니여도 칵테일 먹으러갈거에오♥️	10
재방문이구여. 생일파티로 갔어요. 서빙해주신 남자분 여자분은 정말 친절하시더라구요. 분위기야 당연 좋구요❤️	10
재방문 x10000	10
조아요 조아요 직원들 다들 너무 친절하고 칵테일 너무 맛있어염 분위기도 좋고 특히 화장실 향기가 좋아서 또 가고싶어요	10
칵테일 한 잔 한 잔 너무 예쁘고 맛있었어요. 인테리어도 고급스럽고 편안한 분위기여서 좋은 시간 보냈습니다♥	10
제가 갔던 어느곳보다 분위기 최고에요 ..👍🏻👍🏻 여자친구랑 제가 칵테일을 엄청 좋아하는데 칵테일 퀄리티 장난 없습니다 ㄷㄷ  저흰 룸 잡았는데 홀쪽 분위기도 좋더라구요 ~!  말이 필요없어요 그냥 한번 가보세요 강추 !!  아 그리고 직원들 너무 친절하네요 🙏🏻	10
생일파티 예약하고 갔는데 정말 이쁘게 꾸며주셨어요!!직원분들도 엄청 친절하고 좋음 추억 남겼습니당!!!ㅎㅎ	10
분위기좋아요 그치만 넘 비싸요😿	10
진짜 인간적으로 분위기 너무 예쁜거 아닙니까..ㅠㅠ B1,2를 층고를 다 터서 그런지 굉장히 넓어보이고 인테리어도 고급지고 정말 마음에 들어요. 이전에 친구가 소개팅남이 데리고 갔다고 자랑하길래, 굉장히 기대하고 온 곳인데, 정말 대만족이었어요. 제가 가 본 바 중 분위기 가장 마음에 드는 곳이에요. 칵테일/안주 모두 맛있었고 마음에 들어요. 자신있게 주변에 추천합니다!	10
아~요 몇일 완전 스트레스 받고 힘들었는데 오늘 여기와서 힐링했어요 ㅋㅋ 바텐더 분들 음료 만드는거 구경도 하고, 친절하시고 ㅎㅎ 무엇보다 넘나 잘생기셨어요!!!ㅋㅋㅋ  분위기도 넘 좋고 강남역에 괜찮은곳 찾기 힘든데.. ay 라운지 강추요!!!♡♡	10
친구들이랑 오랜만에 갔는데 여전히 맛있고, 분위기가 좋았어요.직원분들 너무 친절하게 안내해주시고 감사했습니다.다음에 또 방문할게요~	10
너무 이쁘구료 직원들도 다들 착하시구 좋으네요	10
룸잡으니까 분위기 되게 좋은데... 많이 비싸긴해요 ㅎㅎ 음식도 맛있는데 음식도 되게 비싸긴해요 ㅎㅎ	10
오랜만에 친구들이랑 파티하러 왔는데 역시는 역시네요 ㅎㅎ 너무 친절하시구 분위기도 좋아서 기분좋게 놀고 가네요😊 다음에 또 갈게요~~	10
분위기 좋은 칵테일바~ ;)	10
무한도전 정우성편 보고 넘 오고 싶었는데 ㅎ 황금연휴 맞아, 남편이랑 드뎌 와봤어욤💕분위기도 좋아 담엔 친구들끼리 와보려구염 ㅎ	10
좋앙ㅇ용	10
고급스러운 분위기랑 음악도 좋았고 만들어주신 칵테일도 맛있었어요. 기념일이나 기분내고싶은날에는 꼭 올거같아요:)	10
